u,v,key,length_m,coast_distance_m,coast_time_s,v_out_mps,v_max_mps
9208118343,1079113464,0,6474.891292763092,6408.92271210396,853.2243873899084,7.466264832997603,10.822314296762686
2325961053,5842308904,0,4057.00362515929,4007.1843398937876,521.2382625311701,10.233282410436592,10.997032950945062
2141478483,2141482631,0,3763.798885317474,3740.734696187047,492.42722841257427,7.7789842553121025,11.192542973228093
8008978411,824514323,0,3785.5654937405156,3737.2888815391098,476.55702370190573,8.119625797164133,11.110657542927564
1416927982,1809372521,0,4431.096761943123,3687.0443248713555,640.9835489144327,0.0,10.997001146596576
2327023425,9208090215,0,4965.088319751308,3443.1081279710756,554.3341037979933,0.0,8.885622972700444
2294743109,1822331467,0,4124.450755490775,3345.4941049562267,506.537281259616,0.0,10.64680042481919
2132597179,2132597958,0,3270.893127603063,3228.8970732435787,375.3206664253968,9.627301327252473,11.653013956639759
473808060,12190011497,0,3185.0385809304266,3172.829905676747,425.63759801451783,7.72458172210225,11.911028488233782
6564393932,6564401675,0,3101.38767381917,3080.168220096125,405.2577807651026,7.242531580851729,12.587368864286272
4271066120,3547845401,0,2957.3539507425376,2925.1461258654185,447.4257103271242,3.000880074760318,9.653109719042988
3174474210,5771040903,0,2947.3269941140725,2901.665172295687,321.62772137605714,11.71325550752607,12.896068911617107
9025906614,4260129036,0,4226.494224288696,2891.635506063673,408.2962674158638,0.0,10.608305644598552
8891004256,7869675627,0,2765.578124321189,2722.87046528867,354.49025416110214,7.152134500424376,9.8666558553646
2121623040,2121623104,0,4028.356523549412,2673.811819844795,366.54412704371776,0.0,13.126182265631627
1960666895,3739791403,0,2659.541517736434,2650.37631184884,282.2914825001533,11.249199538129528,12.565340175937003
1417013648,2328335180,0,2988.732769280697,2647.023715350049,400.42344100692435,0.0,10.103250972690866
473149745,12089239675,0,3572.0658718132668,2593.8058859626776,299.60700569952525,0.0,14.03928430766186
3224811636,7490586314,0,2604.6284539884473,2583.3166337351395,312.2693778096986,9.034013180178487,11.836758054671972
1978471593,1978470952,0,2579.4754503776485,2563.957269924654,334.1077754030717,7.480061877280394,10.333358583786925
9207039241,9207039443,0,2604.1713265160033,2561.134028137403,360.0830103910991,9.512130846507295,11.409986599844279
1198539640,1198539446,0,2562.8861573423796,2534.97472543694,304.0656239799955,10.39956768465323,12.357132710777613
2121622753,10723336289,0,2539.844896178369,2532.235751472407,284.3996560674162,10.202536575953268,13.788717851558543
2704807624,2704806049,0,2459.076615669745,2453.734275918357,305.89147735845154,9.064000886513254,11.548284771278539
7130327542,1412221552,0,2453.575351670466,2451.489298329742,316.39220814827695,3.149035275031194,20.43974425581102
10307566201,3739791853,0,2446.64661861461,2438.7253036608167,285.4201091328054,9.534649440731306,12.522932754185542
1970597329,1812309270,0,3688.8899815753766,2409.9945284295195,405.80217299479784,0.0,8.223504046428339
8841790337,9965635878,0,2472.8558507452935,2400.222614248369,540.3351895537121,0.0,6.683533882926512
1610858652,1610858744,0,2399.284407410513,2393.6374265074305,555.313153894943,4.686584206613479,6.9294276884790476
3506113907,1964164657,0,3130.566524113518,2363.9567809761816,534.9681020701655,0.0,6.5148817221577024
1734883763,1659188193,0,2390.755305913008,2348.235061022939,275.49651046241684,0.0,14.448322903508203
275286287,7247603432,0,2362.326048355819,2341.0766313375602,297.3064370288407,12.108288687756085,13.33815157286788
345792892,1012504025,0,2300.222311266567,2296.343497195542,294.37633884430085,6.879865359543289,11.802862094796009
3967849102,3967849144,0,2307.756246953171,2294.044567900131,228.09746260580226,8.022587082531336,14.418754256367105
1417160395,1079080709,0,5761.640356516167,2282.504233836468,346.45835157280044,0.0,11.014610065074798
513372456,513372666,0,2313.2206021456163,2271.5291240180295,379.3490382831515,6.251779324667205,7.673615170936096
1654652043,10696767326,0,2275.6172536599565,2270.7995292114742,389.70530855997,6.926570914878121,8.263161802526287
4418619728,3082029274,0,2260.100405424204,2259.8870554808477,317.26702467765415,3.831138130688027,10.423447214572219
3372083326,967200881,0,2263.4189336980453,2258.7701175345383,263.42288766814005,8.788601573115777,11.522518012908314
833386143,5241259773,0,2900.6205023623434,2251.8863198960476,314.34736345914365,0.0,11.055178274306854
8596809400,8596810082,0,2465.6180180090073,2243.6283528515373,395.66933334746005,0.0,7.890735612616816
10797257925,10797257905,0,2272.5200938643475,2229.922334804659,273.34618612663303,0.0,12.249364393477604
2171017148,2171017379,0,2234.5694479288504,2224.821806489156,258.817076449923,10.48673159457789,11.060397503628623
2141484132,2141482631,0,6163.839059542668,2181.3801398143114,445.7997967590365,0.0,9.09827074167255
1376016066,1376016466,0,2185.6913536995157,2179.5436301948384,228.5341110034599,11.999576175204954,12.855102021452089
4729250424,5295568308,0,2175.3463988752605,2170.1640700388484,292.6571370062339,8.961468309767985,11.260357017608053
1409616971,5278556164,0,2170.830908417423,2167.750250066578,263.28813516064616,9.208778921836315,12.319503326509578
6491337723,2170917830,0,2477.164564434565,2152.215257263527,287.07544438828455,0.0,11.923190969679956
1929490319,2331487031,0,2154.2394276396185,2142.2710586025482,320.56946368952714,7.352021964081695,10.743711690465613
12833070185,5475133318,0,2151.5685526010366,2141.371781766964,437.2111170202442,1.6997125464074714,7.721250116051563
